skip	mScore	mNo	m	aWeights	aPriors	trueWeights	truePriors	trial	x	EIG	y	mY	ll
loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
0	-9.326198343737122	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.9,0.9],"hot":[],"on":[]}	{"bright":0.5,"hot":0.5,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	1	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]		0.4	0.6551724137931034	
0	-6.927005836997087	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.9,0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.30000000000000004,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	2	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]		0.999999	0.96	
0	-6.0690190283613905	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.999999,0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.30000000000000004,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	3	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]		0.999999	0.9999996	
0	-5.984661649068999	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.999999,0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.30000000000000004,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	4	Imagine 100 lightbulbs that are not bright and hot. What proportion are on? in [0, 1]		0.1	0.0909090908632139	
0	-4.088250603489017	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.999999,0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.30000000000000004,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	5	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]		0.999999	0.96	
0	-3.184021863351361	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.9,0.9],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	6	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]		0.999999	0.9999999	
0	-3.173645541261517	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.9,0.9],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	7	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]		0.999999	0.9999999	
0	-3.096656259749725	1	[{"bright":["hot","on"],"hot":[],"on":[]}]	{"bright":[0.9,0.9],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.5}	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	8	Imagine 100 lightbulbs that are not on. What proportion are bright? in [0, 1]		0.999999	0.9999993600000001	
